"id","title","financial_year","semester","course_name","course_slot","course_url","instructor","student_ta","staff_associated"
1,"2010-1 CL 152 Introduction to Chemical Engineering-5",2010,"Jul-Dec (Autumn)","CL 152 Introduction to Chemical Engineering",5,"Moodle Login",,,
2,"2009-1 CL 609 Pollution Control Systems-5",2009,"Jul-Dec (Autumn)","CL 609 Pollution Control Systems",5,,,,
